M,efConstruction,efSearch,recall,avg_latency_ms,throughput_qps,build_time_s,memory_mb,dataset,dimension,train_size,test_size
4,50,10,0.4531,0.0017381954193115233,575309.3057834009,2.3607051372528076,423.28125,last.fm,65,292385,50000
4,50,50,0.82276,0.005044198036193848,198247.56935089733,2.365366220474243,426.171875,last.fm,65,292385,50000
4,50,100,0.89988,0.009083719253540038,110087.06589102118,2.3018529415130615,415.96875,last.fm,65,292385,50000
4,50,200,0.94812,0.019901342391967773,50247.866716950826,2.2530579566955566,421.890625,last.fm,65,292385,50000
4,100,10,0.49758,0.002396101951599121,417344.51212838234,4.006052017211914,428.359375,last.fm,65,292385,50000
4,100,50,0.8591,0.005070281028747559,197227.72649685183,4.110921144485474,431.03125,last.fm,65,292385,50000
4,100,100,0.92692,0.009564199447631837,104556.58160156908,4.009661912918091,431.03125,last.fm,65,292385,50000
4,100,200,0.96762,0.01910333633422852,52346.87713728016,4.009912014007568,431.03125,last.fm,65,292385,50000
4,200,10,0.52358,0.0019740152359008787,506581.70302501804,7.278732061386108,435.234375,last.fm,65,292385,50000
4,200,50,0.87616,0.005168819427490235,193467.7761582317,7.288822174072266,435.4375,last.fm,65,292385,50000
4,200,100,0.93826,0.009228377342224122,108361.41207886403,7.592977285385132,395.53125,last.fm,65,292385,50000
4,200,200,0.97506,0.021952738761901854,45552.40286170863,7.2318549156188965,399.171875,last.fm,65,292385,50000
8,50,10,0.56196,0.001764359474182129,566777.9240188858,2.32662296295166,418.671875,last.fm,65,292385,50000
8,50,50,0.87932,0.0049231815338134765,203120.68387724148,2.4124138355255127,403.15625,last.fm,65,292385,50000
8,50,100,0.93602,0.010210919380187988,97934.374248442,2.3069798946380615,409.25,last.fm,65,292385,50000
8,50,200,0.9709,0.021981878280639647,45492.017890060895,2.6534690856933594,416.296875,last.fm,65,292385,50000
8,100,10,0.61398,0.002196102142333984,455352.2264393472,4.589882135391235,409.6875,last.fm,65,292385,50000
8,100,50,0.90936,0.007755098342895507,128947.42990797867,4.436814069747925,411.953125,last.fm,65,292385,50000
8,100,100,0.9553,0.014299144744873048,69934.25256140229,4.840043067932129,415.765625,last.fm,65,292385,50000
8,100,200,0.9816,0.024671401977539063,40532.759383127224,4.899126052856445,416.8125,last.fm,65,292385,50000
8,200,10,0.63628,0.0022521257400512696,444024.9415102529,8.579018831253052,414.984375,last.fm,65,292385,50000
8,200,50,0.92166,0.007051520347595214,141813.38927016367,9.154221057891846,412.171875,last.fm,65,292385,50000
8,200,100,0.96386,0.01100046157836914,90905.27637188963,8.647424936294556,417.46875,last.fm,65,292385,50000
8,200,200,0.98598,0.02291542053222656,43638.73657014819,8.827111959457397,417.671875,last.fm,65,292385,50000
16,50,10,0.61574,0.0018642616271972656,536405.3979394522,2.5369391441345215,453.953125,last.fm,65,292385,50000
16,50,50,0.89866,0.006038298606872558,165609.56406856704,2.8077709674835205,455.09375,last.fm,65,292385,50000
16,50,100,0.94838,0.011887822151184082,84119.69722312807,2.8199801445007324,455.65625,last.fm,65,292385,50000
16,50,200,0.97646,0.02303314685821533,43415.69157508869,2.6264729499816895,453.21875,last.fm,65,292385,50000
16,100,10,0.66498,0.0021149826049804686,472817.12750031566,4.555699825286865,448.3125,last.fm,65,292385,50000
16,100,50,0.9268,0.005612959861755371,178159.1218589731,4.103102207183838,448.328125,last.fm,65,292385,50000
16,100,100,0.9651,0.011275362968444823,88688.94090581342,4.346765995025635,450.96875,last.fm,65,292385,50000
16,100,200,0.98626,0.021437458992004395,46647.319552796514,4.020586729049683,453.0,last.fm,65,292385,50000
16,200,10,0.69374,0.002160558700561523,462843.2450088501,7.790480136871338,447.3125,last.fm,65,292385,50000
16,200,50,0.936,0.006572556495666504,152147.79829725798,7.727247953414917,447.828125,last.fm,65,292385,50000
16,200,100,0.96992,0.010600543022155762,94334.79001122309,7.7913498878479,440.671875,last.fm,65,292385,50000
16,200,200,0.98888,0.02275918006896973,43938.313988886526,7.73688817024231,444.046875,last.fm,65,292385,50000
24,50,10,0.63668,0.0020375394821166995,490788.0356561971,2.4267938137054443,449.0625,last.fm,65,292385,50000
24,50,50,0.90794,0.005621118545532227,177900.53561400503,2.367299795150757,458.140625,last.fm,65,292385,50000
24,50,100,0.95364,0.010269322395324706,97377.40831422995,2.3771262168884277,466.3125,last.fm,65,292385,50000
24,50,200,0.9808,0.021703977584838868,46074.503905613215,2.421755790710449,467.5625,last.fm,65,292385,50000
24,100,10,0.68268,0.0023202610015869143,430985.99653920927,4.2532172203063965,468.640625,last.fm,65,292385,50000
24,100,50,0.93232,0.006029343605041504,165855.53345538952,4.253691911697388,472.3125,last.fm,65,292385,50000
24,100,100,0.97052,0.011759438514709472,85038.07377785383,4.236189842224121,472.3125,last.fm,65,292385,50000
24,100,200,0.98874,0.025598626136779785,39064.59646141761,4.2796008586883545,472.3125,last.fm,65,292385,50000
24,200,10,0.71292,0.0023710966110229493,421745.7843561151,9.920257091522217,395.0,last.fm,65,292385,50000
24,200,50,0.94476,0.005971484184265137,167462.55522789466,8.655242681503296,417.53125,last.fm,65,292385,50000
24,200,100,0.97696,0.010992064476013183,90974.72109831542,8.736693143844604,427.609375,last.fm,65,292385,50000
24,200,200,0.9918,0.02267519950866699,44101.04526832395,8.66385269165039,431.078125,last.fm,65,292385,50000
32,50,10,0.8142,0.0031938791275024415,313098.88698949694,5.538089990615845,470.609375,last.fm,65,292385,50000
32,50,50,0.9602,0.007890539169311523,126734.05182364152,5.921612977981567,458.4375,last.fm,65,292385,50000
32,50,100,0.9834,0.014469561576843261,69110.5943113284,5.900113105773926,434.578125,last.fm,65,292385,50000
32,50,200,0.99444,0.026246118545532226,38100.87187807151,5.853888988494873,421.0,last.fm,65,292385,50000
32,100,10,0.6859,0.0022101593017578125,452456.07373399154,4.542658090591431,442.90625,last.fm,65,292385,50000
32,100,50,0.92754,0.006775679588317872,147586.67185563594,5.141780853271484,428.359375,last.fm,65,292385,50000
