M,efConstruction,efSearch,recall,avg_latency_ms,throughput_qps,build_time_s,memory_mb,dataset,dimension,train_size,test_size
4,50,10,0.7873,0.010759210586547852,92943.62183507138,1.9151110649108887,547.625,mnist,784,60000,10000
4,50,50,0.9509,0.02963776588439941,33740.73484150083,1.935180902481079,548.296875,mnist,784,60000,10000
4,50,100,0.9709,0.04914960861206055,20346.041977526867,1.876162052154541,550.9375,mnist,784,60000,10000
4,50,200,0.9829,0.08708398342132569,11483.167865230125,1.9142451286315918,550.9375,mnist,784,60000,10000
4,100,10,0.8001,0.010954713821411133,91284.90404244854,3.2326762676239014,554.21875,mnist,784,60000,10000
4,100,50,0.9617,0.030187106132507323,33126.72621252485,3.1948859691619873,554.21875,mnist,784,60000,10000
4,100,100,0.9828,0.0529292106628418,18893.15913607674,3.3685829639434814,554.21875,mnist,784,60000,10000
4,100,200,0.9914,0.08926293849945068,11202.857723602208,3.238870859146118,554.34375,mnist,784,60000,10000
4,200,10,0.8123,0.011004781723022461,90869.58970825913,5.679647922515869,554.171875,mnist,784,60000,10000
4,200,50,0.97,0.03075687885284424,32513.051951223104,5.499691009521484,527.84375,mnist,784,60000,10000
4,200,100,0.9868,0.052771806716918945,18949.512290989922,5.481211185455322,531.125,mnist,784,60000,10000
4,200,200,0.9943,0.08971951007843018,11145.847755140763,5.5223870277404785,521.390625,mnist,784,60000,10000
8,50,10,0.925,0.014909887313842773,67069.58804923837,2.426184892654419,525.375,mnist,784,60000,10000
8,50,50,0.9883,0.04101760387420654,24379.77613384771,2.455625057220459,511.078125,mnist,784,60000,10000
8,50,100,0.9966,0.06930999755859375,14427.93298549193,2.4775795936584473,516.515625,mnist,784,60000,10000
8,50,200,0.9979,0.11848089694976807,8440.179182843007,2.4779837131500244,520.515625,mnist,784,60000,10000
8,100,10,0.9404,0.015842461585998533,63121.50385037345,4.4621171951293945,520.703125,mnist,784,60000,10000
8,100,50,0.9943,0.05086410045623779,19660.231696427527,4.703729867935181,512.703125,mnist,784,60000,10000
8,100,100,0.9977,0.07604069709777832,13150.852611386923,4.609048128128052,508.59375,mnist,784,60000,10000
8,100,200,0.9989,0.12366840839385987,8086.139483700593,4.430629014968872,514.4375,mnist,784,60000,10000
8,200,10,0.9417,0.016492986679077146,60631.83215133441,8.36517596244812,519.953125,mnist,784,60000,10000
8,200,50,0.9962,0.04710650444030762,21228.49088212816,8.346963882446289,521.796875,mnist,784,60000,10000
8,200,100,0.9988,0.0816380739212036,12249.18658621456,8.344498872756958,521.796875,mnist,784,60000,10000
