M,efConstruction,efSearch,recall,avg_latency_ms,throughput_qps,build_time_s,memory_mb,dataset,dimension,train_size,test_size
4,50,10,0.4028,0.004373383522033691,228655.91251301565,16.888741970062256,1280.53125,sift-128,128,1000000,10000
4,50,50,0.6642,0.012457680702209473,80271.7635733465,15.197082042694092,1346.34375,sift-128,128,1000000,10000
4,50,100,0.7473,0.021844196319580077,45778.749896312205,15.202936172485352,1353.640625,sift-128,128,1000000,10000
4,50,200,0.8131,0.05181219577789307,19300.4752063929,15.082605838775635,1328.875,sift-128,128,1000000,10000
4,100,10,0.4246,0.004017090797424317,248936.3697333357,25.7805278301239,1340.796875,sift-128,128,1000000,10000
4,100,50,0.7023,0.012476181983947753,80152.72631375778,28.0,1320.734375,sift-128,128,1000000,10000
4,100,100,0.7917,0.022203373908996585,45038.20023473145,25.301562070846558,1332.375,sift-128,128,1000000,10000
4,100,200,0.8553,0.0434086799621582,23036.867301004233,24.961110591888428,1345.671875,sift-128,128,1000000,10000
4,200,10,0.435,0.003895115852355957,256731.77330403432,45.652918100357056,1293.4375,sift-128,128,1000000,10000
4,200,50,0.7256,0.01234288215637207,81018.35433013069,45.88191318511963,1328.4375,sift-128,128,1000000,10000
4,200,100,0.8199,0.026714491844177245,37432.86624476678,45.7183301448822,1329.328125,sift-128,128,1000000,10000
4,200,200,0.8765,0.04553940296173096,21959.005497730177,45.91032910346985,1258.15625,sift-128,128,1000000,10000
8,50,10,0.6428,0.005086469650268555,196600.01312446682,19.474320888519287,1401.546875,sift-128,128,1000000,10000
8,50,50,0.8867,0.016257095336914062,61511.60335077551,19.66718316078186,1347.6875,sift-128,128,1000000,10000
8,50,100,0.9354,0.03505430221557617,28527.168900702178,19.783161878585815,1356.625,sift-128,128,1000000,10000
8,50,200,0.9683,0.06331238746643067,15794.6973730886,21.79236102104187,1348.84375,sift-128,128,1000000,10000
8,100,10,0.6794,0.005570697784423828,179510.72535223325,37.63745474815369,1297.265625,sift-128,128,1000000,10000
8,100,50,0.911,0.01916971206665039,52165.624424777,39.156217098236084,1364.890625,sift-128,128,1000000,10000
8,100,100,0.9568,0.03162407875061035,31621.47450637435,37.19647479057312,1373.078125,sift-128,128,1000000,10000
8,100,200,0.979,0.07735927104949951,12926.698848546992,39.20979189872742,1344.765625,sift-128,128,1000000,10000
8,200,10,0.6832,0.005732989311218261,174429.07106824865,69.77890205383301,1302.796875,sift-128,128,1000000,10000
8,200,50,0.9234,0.018417572975158693,54295.97055750956,69.27015018463135,1276.140625,sift-128,128,1000000,10000
8,200,100,0.9639,0.03262641429901123,30650.01231319207,66.02230310440063,1345.71875,sift-128,128,1000000,10000
8,200,200,0.9841,0.06924848556518555,14440.749019105579,72.00905704498291,1273.15625,sift-128,128,1000000,10000
16,50,10,0.7339,0.006785202026367188,147379.54686006633,25.893258094787598,1296.28125,sift-128,128,1000000,10000
16,50,50,0.9354,0.03612349033355713,27682.81776667201,23.192494869232178,1263.171875,sift-128,128,1000000,10000
